Column1,State,City,Latitude,Longitude,Name,Interest,Google review rating,Entrance Fee in INR
1,Delhi,Delhi,28.612912,77.2295097,India Gate,Cultural & Heritage Sites,4.6,0
2,Delhi,Delhi,28.5932848,77.2507492,Humayun's Tomb,Cultural & Heritage Sites,4.5,30
3,Delhi,Delhi,28.6126735,77.2772619,Akshardham Temple,Religious & Spiritual Pilgrimages,4.6,60
4,Delhi,Delhi,28.5926939,77.2569715,Waste to Wonder Park,Adventure & Outdoor Activities,4.1,50
5,Delhi,Delhi,28.6270547,77.2166267,Jantar Mantar,"Arts, Science & Literature Attractions",4.2,15
6,Delhi,Delhi,28.6505331,77.230337,Chandni Chowk,Shopping & Markets,4.2,0
7,Delhi,Delhi,28.553492,77.2588264,Lotus Temple,Religious & Spiritual Pilgrimages,4.5,0
8,Delhi,Delhi,28.6561592,77.2410203,Red Fort,Cultural & Heritage Sites,4.5,35
9,Delhi,Delhi,28.626062,77.2250369,Agrasen ki Baoli,Cultural & Heritage Sites,4.2,0
10,Delhi,Delhi,28.5956467,77.2451691,Sunder Nursery,Natural Landscapes & Wildlife,4.6,0
11,Delhi,Delhi,28.513403,77.1975227,Garden of Five Senses,Natural Landscapes & Wildlife,4.1,35
12,Delhi,Delhi,28.5936814,77.2218338,Lodhi Garden,Natural Landscapes & Wildlife,4.5,0
13,Delhi,Delhi,28.6101926,77.2344179,National Gallery of Modern Art,"Arts, Science & Literature Attractions",4.5,20
14,Delhi,Delhi,38.9296156,-77.0497844,National Zoological Park ,Natural Landscapes & Wildlife,4.1,80
15,Delhi,Delhi,28.5244946,77.1855177,Qutub Minar,Cultural & Heritage Sites,4.5,35
16,Delhi,Delhi,28.5740324,77.1990669,Shopping at Sarojini Nagar,Shopping & Markets,4.2,0
17,Delhi,Delhi,28.6127836,77.2455584,National Science Centre,"Arts, Science & Literature Attractions",4.4,70
18,Maharastra,Mumbai,18.9432111,72.8229983,Marine Drive,Sightseeing & Exploration,4.5,0
19,Maharastra,Mumbai,18.9219841,72.8346543,Gateway of India,Cultural & Heritage Sites,4.6,0
20,Maharastra,Mumbai,18.9269015,72.8326916,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Cultural & Heritage Sites,4.6,500
21,Maharastra,Mumbai,19.2307329,72.856673,NCPA Tiger safari at Borivali,Adventure & Outdoor Activities,4.3,50
